Саратовская_область;Саратовская область;Саратовская область;15262;3886;611;13949;3646;557;12566;2362;501;11619;2295;461;10669;2103;421;9775;1680;384;8887;994;347;7886;19;307;7650;18;295;7010;;268;6433;14;244;5840;13;219;5242;13;195;4358;12;161;2375;12;88;879;12;32;515;11;19;328;9;12;110;5;4;2;2;0;2;2;0
Сахалинская_область;Сахалинская область;Сахалинская область;606;91;123;501;88;102;419;64;85;362;58;73;333;41;66;290;39;57;239;34;47;186;20;36;159;19;31;142;;27;104;1;19;80;1;15;65;1;12;41;0;7;30;0;5;25;0;4;19;0;3;10;0;2;5;0;1;4;0;1;3;0;0
Свердловская_область;Свердловская область;Свердловская область;73623;10878;1704;66469;10597;1540;57726;7743;1340;53333;7419;1241;48837;5916;1134;44027;4741;1020;39404;3995;912;33303;2230;769;30441;2165;699;27483;;625;24128;934;544;21347;878;477;18115;801;401;13403;668;295;3998;270;87;272;47;6;136;28;3;84;18;2;24;8;1;16;7;0;14;6;0
Смоленская_область;Смоленская область;Смоленская область;2120;326;219;1860;319;191;1552;244;158;1401;236;143;1224;180;123;1048;153;105;920;119;91;752;78;74;664;57;65;562;;54;434;35;42;354;31;34;278;29;26;184;23;17;99;17;9;57;15;5;36;12;3;22;9;2;19;9;2;16;8;1;15;7;1
Ставропольский_край;Ставропольский край;Ставропольский край;1943;375;70;1544;317;55;1279;244;46;1147;223;41;1004;154;36;876;153;32;738;149;27;571;72;21;500;72;18;439;;16;362;51;13;299;47;11;235;43;9;187;38;7;124;30;5;73;23;3;46;17;2;32;12;1;20;8;1;17;7;1;16;6;1
Тамбовская_область;Тамбовская область;Тамбовская область;1530;303;143;1307;285;121;1186;236;110;1087;213;100;954;164;87;872;142;79;750;95;67;561;65;50;520;62;46;469;;41;397;40;34;326;32;28;255;28;21;149;17;12;61;7;5;24;4;2;13;3;1;5;2;0;4;2;0;2;1;0;2;1;0
Тверская_область;Тверская область;Тверская область;10794;2046;814;10087;1988;756;9249;1484;689;8616;1404;638;7912;1102;579;7365;941;535;6729;642;485;5924;320;423;5482;317;387;5012;;350;4426;317;306;3936;311;269;3441;287;231;2861;266;188;2084;227;135;1460;183;93;1079;145;68;573;78;36;8;3;0;5;3;0;4;3;0
Томская_область;Томская область;Томская область;5402;400;505;3783;323;355;1693;208;160;1467;191;140;1271;156;122;1115;138;108;1050;108;102;918;81;90;868;77;85;808;;78;739;55;71;673;49;64;602;47;57;479;39;45;165;18;16;18;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Тульская_область;Тульская область;Тульская область;8251;1858;542;7610;1828;497;6866;1418;445;6390;1351;412;6056;1131;387;5651;963;358;5199;841;327;4470;553;279;4160;551;258;3726;;228;3261;256;198;2936;250;176;2513;223;148;2184;199;127;1259;141;72;402;63;23;90;32;5;54;20;3;14;6;1;11;5;1;6;3;0
Тюменская_область;Тюменская область ;Тюменская область ;39983;7558;1127;36655;7353;1044;32754;5517;947;30406;5378;893;10821;1449;320;25059;3290;748;9095;265;273;8169;257;247;7798;253;237;7267;;221;6705;230;204;6265;217;192;5668;213;174;4669;197;144;2853;148;89;784;49;24;17;2;1;13;2;0;10;1;0;4;1;0;1;1;0
Удмуртская_Республика;Удмуртия;Удмуртская Республика;6691;914;441;5929;913;391;5239;131;345;4825;22;317;4398;19;288;3997;18;262;3577;17;233;3041;17;198;2753;17;178;2518;;162;2197;17;141;1958;16;125;1724;15;109;1214;11;76;383;11;24;13;3;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Ульяновская_область;Ульяновская область;Ульяновская область;14446;3721;1140;13416;3526;1053;12344;2700;963;11578;2585;897;10771;2046;827;9954;1692;761;9102;1083;692;8025;616;605;7491;587;559;6848;;506;6129;246;448;5556;234;403;4939;219;354;4087;194;289;2358;120;165;37;5;3;9;2;1;5;2;0;2;2;0;1;1;0;1;1;0
Хабаровский_край;Хабаровский край;Хабаровский край;2444;185;182;2223;183;166;1996;122;149;1817;92;135;1622;45;120;1415;43;105;1241;42;92;1026;42;75;960;42;70;844;;60;744;43;53;614;43;43;433;37;30;205;21;14;53;8;4;20;3;1;8;2;1;4;1;0;2;1;0;1;1;0;1;1;0
Ханты-Мансийский_АО;Ханты-Мансийский АО;Ханты-Мансийский АО;21167;3812;1325;19572;3756;1258;17736;2801;1136;16494;2737;1073;14905;2100;980;13523;1688;899;12519;1374;840;10915;886;740;10417;877;710;9648;;660;8707;455;599;8054;449;560;7235;428;512;5921;389;428;2924;263;215;944;123;69;182;21;14;64;7;5;21;1;2;1;0;0;0;0;0
Челябинская_область;Челябинская область;Челябинская область;36584;4338;1048;32443;4335;931;28632;2616;823;26389;2046;759;24005;1859;689;22016;1853;632;19930;42;571;17561;41;502;16324;41;464;15017;;424;13985;40;392;12573;40;349;11145;40;308;9110;40;250;4055;40;111;366;24;10;179;18;5;71;6;2;12;0;0;7;0;0;4;0;0
Чеченская_Республика;Чечня;Чеченская Республика;2305;606;171;2148;548;162;1887;443;145;1701;413;133;1509;339;121;1285;280;105;1103;185;92;802;29;68;737;29;64;625;;55;469;25;42;359;23;32;283;19;26;172;16;17;76;13;7;31;10;3;13;10;1;11;8;1;9;7;1;9;7;1;9;7;1
Чувашская_Республика;Чувашия;Чувашская Республика;1819;387;147;1649;346;133;1433;284;115;1300;269;104;1152;215;92;1013;185;81;882;112;70;696;61;55;621;60;49;546;;42;520;44;40;439;41;33;368;37;28;265;31;20;41;11;3;10;6;1;7;5;1;2;2;0;2;2;0;2;2;0;1;1;0
Чукотский_АО;Чукотский АО;Чукотский авт.округ;132;10;261;115;10;226;99;7;194;78;1;155;74;1;145;51;0;98;41;0;78;27;0;51;24;0;46;17;;33;9;0;17;5;0;9;4;0;7;2;0;3;2;0;3;2;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Ямало-Ненецкий_АО;Ямало-Ненецкий АО;Ямало-Ненецкий АО;2426;285;450;2274;264;422;2026;221;378;1901;213;362;1735;179;331;1586;156;303;1456;116;278;1284;91;246;1142;90;221;1054;;205;923;59;181;829;58;163;726;56;144;566;54;114;270;36;54;76;14;15;50;10;10;38;8;8;16;4;3;3;0;1;0;0;0
Ярославская_область;Ярославская область;Ярославская область;2315;402;182;2095;400;165;1826;313;144;1712;302;135;1571;260;123;1433;214;111;1267;138;98;1140;92;88;1052;85;80;950;;71;831;51;62;730;46;54;618;41;45;506;38;36;315;31;22;57;15;4;22;8;2;17;6;1;9;4;1;5;3;0;1;1;0
Крым;Крым;Крым;20575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Севастополь;Севастополь;Севастополь;3089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
